iter	Logloss
0	0.6854481304
1	0.678034512
2	0.6736638407
3	0.6665846955
4	0.6598024369
5	0.6538097035
6	0.649995806
7	0.6457137338
8	0.6401968463
9	0.6345184081
10	0.629224883
11	0.6242865309
12	0.6192650962
13	0.6141804908
14	0.6110353615
15	0.6068465607
16	0.6029729295
17	0.599241619
18	0.5952962265
19	0.5929162972
20	0.5906296676
21	0.5882463283
22	0.5863174353
23	0.5841242364
24	0.5821112093
25	0.5788345329
26	0.5765833534
27	0.5743640651
28	0.5714106089
29	0.5684671601
30	0.5669805645
31	0.5645541442
32	0.5630095266
33	0.5615228271
34	0.5589388648
35	0.5573512878
36	0.5562521165
37	0.5546445464
38	0.5531358096
39	0.5506809596
40	0.5483764291
41	0.5466519783
42	0.5450375057
43	0.5429079891
44	0.5412027166
45	0.5403802231
46	0.5391339813
47	0.5382504876
48	0.537287926
49	0.5362990503
50	0.5354655391
51	0.5344563123
52	0.5335153693
53	0.5326642514
54	0.5318000506
55	0.5305540493
56	0.5294692216
57	0.5285645034
58	0.5278500333
59	0.5266457662
60	0.5246044561
61	0.5236777193
62	0.5228548366
63	0.5214665491
64	0.5205172359
65	0.5200360912
66	0.5188262805
67	0.5178443656
68	0.5170348455
69	0.5165500928
70	0.5156576216
71	0.5149357747
72	0.5136889057
73	0.5128892215
74	0.5119431475
75	0.5112253717
76	0.5106943513
77	0.5099598593
78	0.5091171371
79	0.5083808447
80	0.507508197
81	0.5065154432
82	0.5057824146
83	0.5051818006
84	0.5039533826
85	0.5034318429
86	0.5026169799
87	0.5018364294
88	0.5014758272
89	0.5003834069
90	0.499201181
91	0.4985760815
92	0.4980670866
93	0.4976661683
94	0.4972591498
95	0.496273448
96	0.4952390841
97	0.4945761535
98	0.493573132
99	0.4930452314
100	0.4927341384
101	0.4921000776
102	0.4913091994
103	0.490863081
104	0.4904193779
105	0.4900032882
106	0.4894169012
107	0.4887276063
108	0.4883148782
109	0.4879067501
110	0.4875515097
111	0.4868352755
112	0.486483756
113	0.4859841214
114	0.4856029371
115	0.4851328123
116	0.4848661302
117	0.4840142955
118	0.4837735208
119	0.4834309866
120	0.4830875564
121	0.4823572786
122	0.4819743524
123	0.4816228224
124	0.4814713433
125	0.4810740366
126	0.4806887006
127	0.480163888
128	0.4796329374
129	0.4793842409
130	0.4790075149
131	0.4787686332
132	0.4779378097
133	0.477629618
134	0.4773786959
135	0.4771465428
136	0.4764082063
137	0.4761390969
138	0.475895572
139	0.4755678825
140	0.4751554409
141	0.4748253713
142	0.4745992404
143	0.4740717234
144	0.4737173567
145	0.4735214167
146	0.473296868
147	0.4727308835
148	0.4723801794
149	0.472067414
150	0.4718106567
151	0.4713959007
152	0.4710656562
153	0.470749711
154	0.4705302715
155	0.4701330976
156	0.4696186742
157	0.4693209844
158	0.4689662537
159	0.4686784703
160	0.4683478894
161	0.4680793637
162	0.4678059621
163	0.4676073058
164	0.4672535088
165	0.4669963625
166	0.4667121266
167	0.4665030816
168	0.4659169721
169	0.4656646155
170	0.4654300701
171	0.4649254932
172	0.4647276258
173	0.4644162822
174	0.4642182073
175	0.4640188445
176	0.4639072227
177	0.4636292812
178	0.4631540854
179	0.462809434
180	0.4625440521
181	0.4622675241
182	0.4618739161
183	0.4617259009
184	0.4612203266
185	0.4609119151
186	0.460635078
187	0.4602630938
188	0.4600096568
189	0.459777366
190	0.459580378
191	0.4591470113
192	0.4587694349
193	0.458435724
194	0.4581535163
195	0.4579877805
196	0.4576964152
197	0.4575313938
198	0.4573099069
199	0.4570763304
200	0.4568919746
201	0.4566043869
202	0.4563946525
203	0.4562501174
204	0.4560485497
205	0.4555527281
206	0.455412114
207	0.4552329248
208	0.4550361487
209	0.4548660212
210	0.4547254661
211	0.4545212053
212	0.4544279261
213	0.4541867721
214	0.4536358729
215	0.4534899203
216	0.4531560431
217	0.4529889912
218	0.4526475904
219	0.4525266268
220	0.4522992928
221	0.4521417575
222	0.4519284512
223	0.4517676224
224	0.4514773717
225	0.4512945401
226	0.4511072605
227	0.4509701135
228	0.4507990792
229	0.450661596
230	0.450410201
231	0.4501954156
232	0.4500459827
233	0.4499319939
234	0.4497325777
235	0.4495329253
236	0.4492379587
237	0.4491097275
238	0.4489690263
239	0.4488528156
240	0.4485202508
241	0.448375021
242	0.4482331617
243	0.4478747334
244	0.4477133801
245	0.4474699436
246	0.4472987512
247	0.4470976776
248	0.4468051817
249	0.4466156256
250	0.4464193086
251	0.4461167182
252	0.4459312967
253	0.4457965239
254	0.4455782179
255	0.4454675485
256	0.4452325092
257	0.4449830762
258	0.4448609808
259	0.4446798099
260	0.4444674555
261	0.4442823884
262	0.4441169628
263	0.443838071
264	0.4437023099
265	0.4435109441
266	0.443118951
267	0.4428837172
268	0.4426559763
269	0.4425186656
270	0.4422606723
271	0.442030267
272	0.4418780345
273	0.4416913306
274	0.4415481762
275	0.4412374352
276	0.441090723
277	0.4408767134
278	0.4407059245
279	0.4406439195
280	0.4403675325
281	0.4399835273
282	0.4398868404
283	0.4396893798
284	0.4393519802
285	0.4390721867
286	0.4389154751
287	0.4386650338
288	0.438401256
289	0.4382544931
290	0.4380513258
291	0.4379322366
292	0.4377048146
293	0.4375893752
294	0.4375030103
295	0.4374163569
296	0.4373328255
297	0.4370902667
298	0.4369631147
299	0.436802225
300	0.4366585873
301	0.4364458513
302	0.4363622904
303	0.4361995504
304	0.4360866422
305	0.4359001518
306	0.4357331427
307	0.4355595198
308	0.4354279745
309	0.4352240379
310	0.4351982424
311	0.4350030988
312	0.4348332907
313	0.4346778877
314	0.4343162792
315	0.4341912015
316	0.4340258436
317	0.4338379442
318	0.4336598724
319	0.4334828822
320	0.4333061514
321	0.4331674677
322	0.4330847194
323	0.4329453633
324	0.4328491974
325	0.4326675857
326	0.4324202153
327	0.4322820107
328	0.4321711611
329	0.432098852
330	0.4319248077
331	0.4317864777
332	0.4315521194
333	0.4314113697
334	0.431196918
335	0.431047343
336	0.4309118408
337	0.4307696487
338	0.4305964835
339	0.4305261289
340	0.4303939981
341	0.4302272575
342	0.430044477
343	0.4298621739
344	0.429758587
345	0.4296387403
346	0.4294546399
347	0.4293567241
348	0.4292023421
349	0.4291287271
350	0.4289970735
351	0.4289276458
352	0.4286772267
353	0.4283205647
354	0.4280457763
355	0.427891702
356	0.4277298842
357	0.4275957762
358	0.4274835758
359	0.4273512153
360	0.427034599
361	0.4268933172
362	0.426780664
363	0.4266575551
364	0.426598755
365	0.4262671154
366	0.4261743465
367	0.4259986876
368	0.4258744266
369	0.4256593685
370	0.4254330617
371	0.4253035034
372	0.4251995036
373	0.4250560072
374	0.4247643131
375	0.4246973227
376	0.4246037962
377	0.4245496193
378	0.4243499512
379	0.4242382151
380	0.4241426316
381	0.4240335952
382	0.4239888373
383	0.4237973294
384	0.423662479
385	0.4235590485
386	0.423445326
387	0.4232966251
388	0.4231917677
389	0.4230851065
390	0.4230349576
391	0.422959648
392	0.4228737118
393	0.4227391391
394	0.4225691464
395	0.4222084591
396	0.4220744298
397	0.4219483445
398	0.4218232371
399	0.4216825281
400	0.4215974154
401	0.4215096517
402	0.4214193734
403	0.4213911058
404	0.4212899032
405	0.4211518735
406	0.4210527914
407	0.4209305002
408	0.4207833934
409	0.4206886641
410	0.4206602133
411	0.4204550965
412	0.4203335583
413	0.4202646626
414	0.4202103059
415	0.4200193454
416	0.4199083379
417	0.4198127152
418	0.4196838218
419	0.4195780367
420	0.4194494939
421	0.4192781025
422	0.4191685646
423	0.4190843297
424	0.4189242841
425	0.4188113183
426	0.4186152265
427	0.4185166012
428	0.4183967371
429	0.41823815
430	0.4181592021
431	0.4179214712
432	0.4178319247
433	0.4177087404
434	0.4175404047
435	0.4174179858
436	0.4173324654
437	0.4171608887
438	0.4170852718
439	0.4168586877
440	0.4167551457
441	0.4166310655
442	0.4164508575
443	0.4164183829
444	0.4162977893
445	0.4161710575
446	0.4160271768
447	0.4158474129
448	0.4157738366
449	0.415606991
450	0.4155118785
451	0.4153097255
452	0.4151861945
453	0.4150227319
454	0.4149241025
455	0.4148271377
456	0.4146267383
457	0.4145562683
458	0.4144262184
459	0.41422125
460	0.4140863466
461	0.4139617447
462	0.413822235
463	0.4136820483
464	0.413578028
465	0.4134651195
466	0.4133840053
467	0.4132854535
468	0.4130877504
469	0.412929121
470	0.4128526002
471	0.4127683334
472	0.4126168115
473	0.412544121
474	0.4124237566
475	0.4120911487
476	0.4119520896
477	0.4118576782
478	0.4117272515
479	0.4116240621
480	0.4114941649
481	0.4114275559
482	0.4112870569
483	0.4110389036
484	0.4109648442
485	0.4108516291
486	0.410761563
487	0.4106432991
488	0.4104413223
489	0.4102579409
490	0.4101401361
491	0.4100316658
492	0.4099144946
493	0.4096096205
494	0.4095197698
495	0.4094710808
496	0.4093013752
497	0.4091588306
498	0.4090104151
499	0.408897193
500	0.4088009604
501	0.4085117443
502	0.408474183
503	0.4083080894
504	0.4081463833
505	0.4080214675
506	0.4079188783
507	0.4078094009
508	0.4075825166
509	0.4074287701
510	0.4073259983
511	0.407216144
512	0.407084802
513	0.4069715648
514	0.4068364434
515	0.4067281613
516	0.4065161717
517	0.4063669681
518	0.4062609074
519	0.4061292978
520	0.4060627753
521	0.4058930479
522	0.4057559188
523	0.4056134816
524	0.4054528659
525	0.4051857944
526	0.4051230811
527	0.4049797093
528	0.4048138997
529	0.4046178103
530	0.4044928099
531	0.4044100156
532	0.4042526957
533	0.4041518145
534	0.4039316771
535	0.4038472907
536	0.4037307325
537	0.4035939959
538	0.4035247644
539	0.4033995711
540	0.4032884838
541	0.4032052991
542	0.4030923807
543	0.4029532841
544	0.4028404017
545	0.4027114761
546	0.4026185742
547	0.4024946714
548	0.4023659218
549	0.4022653752
550	0.4021734772
551	0.4019915861
552	0.4018601617
553	0.4017228058
554	0.4015793134
555	0.4014483354
556	0.4013615627
557	0.4011950089
558	0.4010524763
559	0.4009171738
560	0.4008305332
561	0.4005783166
562	0.4004890753
563	0.4003322312
564	0.4001113374
565	0.3999207346
566	0.3998233191
567	0.3996788935
568	0.3994809204
569	0.3993516751
570	0.3992894462
571	0.3991716388
572	0.3990547749
573	0.3988566298
574	0.3986985471
575	0.3985946861
576	0.3984762532
577	0.3983228276
578	0.39819594
579	0.3980896345
580	0.3979785791
581	0.3978459454
582	0.3977399553
583	0.3976139393
584	0.397494078
585	0.3970163994
586	0.3969097786
587	0.3968189334
588	0.3966557835
589	0.3964924436
590	0.3962901018
591	0.3961757403
592	0.3960581251
593	0.3957212505
594	0.3956128053
595	0.3954647417
596	0.3953625672
597	0.3952279614
598	0.3950923898
599	0.3949866067
600	0.3948500525
601	0.3947130205
602	0.3945511709
603	0.3943298346
604	0.3941741294
605	0.3939547663
606	0.3938573723
607	0.3937728277
608	0.3936471467
609	0.3934992801
610	0.3933747429
611	0.3932408389
612	0.3931447343
613	0.3930345631
614	0.3928565601
615	0.3926701
616	0.3925036955
617	0.3924089005
618	0.3922744377
619	0.3921721505
620	0.3919563695
621	0.3918372906
622	0.3916298543
623	0.3915082475
624	0.3913878233
625	0.3912598028
626	0.3911194536
627	0.3909621851
628	0.3906821346
629	0.3903396156
630	0.3902237232
631	0.3900641026
632	0.3898340006
633	0.3896948787
634	0.3895870628
635	0.3894812942
636	0.3893745311
637	0.3892566216
638	0.3891543516
639	0.3890011795
640	0.3887719053
641	0.3886847752
642	0.3885918929
643	0.3884735288
644	0.3883046284
645	0.3881421681
646	0.387998944
647	0.3878458747
648	0.3876919385
649	0.3874970025
650	0.3873909731
651	0.3872438528
652	0.3870480042
653	0.3868987871
654	0.3867795328
655	0.3866863307
656	0.3865902092
657	0.3864389601
658	0.38634235
659	0.3861713535
660	0.3860847319
661	0.3857933167
662	0.3854725149
663	0.3853704173
664	0.3852668729
665	0.3851341478
666	0.3849960393
667	0.3847228984
668	0.384599777
669	0.3844718924
670	0.3843229518
671	0.3842095672
672	0.3840432498
673	0.383956551
674	0.3837339506
675	0.3835463887
676	0.383376431
677	0.3832812001
678	0.3831850812
679	0.3830667842
680	0.3830165448
681	0.3829088716
682	0.3827931947
683	0.3825880969
684	0.3824771351
685	0.382322258
686	0.3822004786
687	0.3820027304
688	0.3819147235
689	0.3817337292
690	0.3816238595
691	0.3815182113
692	0.381431303
693	0.3811486803
694	0.3810665568
695	0.3809385269
696	0.3807662974
697	0.3805622992
698	0.380475051
699	0.3802970395
700	0.380213719
701	0.3797636605
702	0.3795910702
703	0.3795087283
704	0.3792961105
705	0.3789916736
706	0.3788038748
707	0.3785689552
708	0.3784714492
709	0.3782787504
710	0.3781719092
711	0.3780455333
712	0.3779178706
713	0.377788203
714	0.3777025327
715	0.3775888069
716	0.3773820338
717	0.3772749572
718	0.3770191619
719	0.3769416422
720	0.3768047434
721	0.3765567827
722	0.3763821946
723	0.3761909425
724	0.3759916328
725	0.3758030716
726	0.3757301831
727	0.3756402909
728	0.3755812897
729	0.3755235511
730	0.3752761732
731	0.3749768274
732	0.3748492963
733	0.3747916219
734	0.3746153633
735	0.3743731937
736	0.3741798034
737	0.374066717
738	0.3739815769
739	0.3738992121
740	0.3736798389
741	0.3734542861
742	0.3733972818
743	0.3733053507
744	0.37322609
745	0.3731119201
746	0.3728382313
747	0.372598237
748	0.3724896598
749	0.3723454176
750	0.372167415
751	0.3720508335
752	0.3719924684
753	0.3717425724
754	0.3715273824
755	0.3712770756
756	0.3711961675
757	0.3708350825
758	0.3706554131
759	0.3705761243
760	0.3704111216
761	0.3703309909
762	0.3701945352
763	0.3700000815
764	0.3697756143
765	0.3695386961
766	0.3693300195
767	0.3692570119
768	0.3691473111
769	0.3690876642
770	0.3690295605
771	0.3688048507
772	0.3687467823
773	0.3684566638
774	0.3680246725
775	0.3679664233
776	0.3679108198
777	0.3678118352
778	0.3675843651
779	0.3673707655
780	0.3673122286
781	0.3670854641
782	0.3669948061
783	0.3666610463
784	0.3664176394
785	0.366337224
786	0.3661116934
787	0.3660536849
788	0.3659415591
789	0.365884089
790	0.3657170652
791	0.3655985441
792	0.3653621559
793	0.3653053426
794	0.3652217225
795	0.3650737618
796	0.3650166919
797	0.3648383244
798	0.3647208933
799	0.3646354602
800	0.3645374095
801	0.3644755433
802	0.3644190287
803	0.3643435047
804	0.364189652
805	0.3641341114
806	0.3639343975
807	0.3636328346
808	0.3633924249
809	0.3633183669
810	0.3630831781
811	0.3627703329
812	0.3626948977
813	0.3626396247
814	0.3625833301
815	0.3623615306
816	0.3623050259
817	0.362106029
818	0.3620512918
819	0.3619951523
820	0.3617537471
821	0.361698786
822	0.3614045313
823	0.3612516156
824	0.3611963893
825	0.3611418723
826	0.3609720134
827	0.3607682157
828	0.3607163734
829	0.3605749425
830	0.3605200105
831	0.3604660227
832	0.3604125792
833	0.3601165044
834	0.3600020119
835	0.3598863217
836	0.3598138628
837	0.3596623034
838	0.3595143722
839	0.3593591911
840	0.3591921534
841	0.3591131326
842	0.3588684996
843	0.3588151212
844	0.3587613988
845	0.3586026601
846	0.3584946303
847	0.3582590734
848	0.3580437826
849	0.3577951436
850	0.3577171141
851	0.3576634082
852	0.3576105058
853	0.3575571104
854	0.3575045768
855	0.3574519741
856	0.3574030051
857	0.3573544747
858	0.3571358566
859	0.3569139034
860	0.3566113997
861	0.3563737184
862	0.356024772
863	0.355972445
864	0.355855936
865	0.3556713638
866	0.3556200302
867	0.3555478837
868	0.355442211
869	0.35536739
870	0.3553161217
871	0.3551521726
872	0.3549706866
873	0.3549196096
874	0.3548687399
875	0.3545773801
876	0.3543274304
877	0.3542764517
878	0.3542293326
879	0.3541242321
880	0.3540740616
881	0.3539057888
882	0.3537318009
883	0.3536814819
884	0.3534077778
885	0.3533364546
886	0.3532864461
887	0.3531707706
888	0.3531209944
889	0.353070788
890	0.3530015817
891	0.3528987866
892	0.3527422477
893	0.3525529815
894	0.3524548971
895	0.3523867339
896	0.352343685
897	0.3522741707
898	0.3521034939
899	0.3519116201
900	0.3517612322
901	0.3516941381
902	0.3515115709
903	0.351462043
904	0.3514154811
905	0.351268424
906	0.3511086407
907	0.3510594132
908	0.351014301
909	0.3507584542
910	0.3507093352
911	0.3505773306
912	0.3505286416
913	0.3504798836
914	0.3502072436
915	0.3501590121
916	0.3498859594
917	0.3497773405
918	0.3497081885
919	0.349605235
920	0.3495594943
921	0.3493443049
922	0.3491894109
923	0.3491412537
924	0.3488373169
925	0.3485889093
926	0.3485407136
927	0.3483645065
928	0.3483166351
929	0.3482685707
930	0.3482209632
931	0.3481197729
932	0.3479024905
933	0.3478047054
934	0.3476438477
935	0.3475962412
936	0.3473504149
937	0.3472387329
938	0.3470723147
939	0.346895732
940	0.3467562702
941	0.3466063342
942	0.3464513248
943	0.3463290764
944	0.346256175
945	0.3460301617
946	0.3459826119
947	0.345782852
948	0.345739018
949	0.3456733549
950	0.3456259203
951	0.3454871943
952	0.3453259697
953	0.3451073919
954	0.34499645
955	0.3449361304
956	0.3447709198
957	0.3447238329
958	0.3446566276
959	0.344589839
960	0.3443071726
961	0.3442631275
962	0.3442163794
