iter	Passed	Remaining
342	1649	3160
343	1654	3154
344	1657	3146
345	1661	3140
346	1665	3134
347	1669	3128
348	1673	3121
349	1677	3115
350	1680	3107
351	1683	3099
352	1693	3103
353	1697	3097
354	1700	3090
355	1704	3083
356	1708	3076
357	1711	3069
358	1714	3061
359	1718	3054
360	1721	3047
361	1725	3040
362	1728	3032
363	1732	3026
364	1735	3018
365	1739	3013
366	1758	3032
367	1793	3080
368	1902	3252
369	2057	3502
370	2064	3499
371	2070	3494
372	2075	3488
373	2079	3480
374	2082	3471
375	2086	3462
376	2094	3461
377	2119	3488
378	2143	3512
379	2162	3528
380	2168	3522
381	2172	3514
382	2176	3506
383	2180	3497
384	2184	3489
385	2188	3480
386	2192	3473
387	2197	3465
388	2201	3458
389	2206	3451
390	2211	3444
391	2215	3437
392	2219	3428
393	2223	3420
394	2226	3410
395	2232	3405
396	2237	3398
397	2242	3391
398	2247	3386
399	2252	3378
400	2257	3371
401	2260	3362
402	2264	3354
403	2267	3345
404	2272	3337
405	2275	3329
406	2280	3322
407	2284	3314
408	2290	3309
409	2295	3303
410	2301	3298
411	2308	3294
412	2315	3291
413	2321	3286
414	2326	3278
415	2330	3271
416	2333	3262
417	2337	3255
418	2341	3247
419	2345	3238
420	2348	3229
421	2351	3220
422	2356	3214
423	2359	3205
424	2363	3197
425	2366	3188
426	2370	3180
427	2374	3172
428	2377	3164
429	2381	3156
430	2384	3147
431	2389	3141
432	2391	3132
433	2394	3123
434	2398	3114
435	2401	3106
436	2405	3098
437	2408	3090
438	2412	3082
439	2415	3074
440	2419	3067
441	2422	3058
442	2426	3050
443	2430	3043
444	2433	3035
445	2436	3026
446	2439	3018
447	2442	3009
448	2446	3001
449	2449	2993
450	2452	2985
451	2456	2977
452	2460	2970
453	2464	2963
454	2467	2955
455	2470	2947
456	2473	2939
457	2477	2931
458	2481	2924
459	2486	2918
460	2489	2911
461	2493	2903
462	2497	2896
463	2500	2888
464	2503	2880
465	2507	2873
466	2510	2865
467	2514	2858
468	2519	2852
469	2524	2846
470	2530	2841
471	2536	2836
472	2539	2829
473	2544	2823
474	2547	2816
475	2552	2809
476	2555	2802
477	2559	2794
478	2562	2787
479	2566	2780
480	2569	2772
481	2572	2764
482	2576	2757
483	2580	2750
484	2584	2744
485	2588	2737
486	2592	2731
487	2596	2724
488	2600	2717
489	2604	2711
490	2608	2703
491	2611	2696
492	2615	2689
493	2618	2682
494	2622	2675
495	2625	2668
496	2629	2661
497	2634	2655
498	2637	2648
499	2641	2641
500	2645	2634
501	2649	2628
502	2652	2620
503	2655	2613
504	2661	2608
505	2668	2605
506	2674	2600
507	2680	2595
508	2684	2589
509	2686	2581
510	2691	2575
511	2694	2567
512	2697	2561
513	2700	2553
514	2703	2546
515	2707	2539
516	2710	2532
517	2714	2526
518	2718	2519
519	2722	2513
520	2725	2506
521	2728	2498
522	2733	2493
523	2736	2486
524	2740	2479
525	2743	2472
526	2747	2465
527	2750	2458
528	2754	2452
529	2757	2445
530	2761	2438
531	2765	2433
532	2770	2427
533	2774	2421
534	2778	2414
535	2782	2408
536	2785	2402
537	2789	2395
538	2794	2390
539	2799	2384
540	2802	2378
541	2806	2371
542	2810	2365
543	2813	2358
544	2816	2351
545	2820	2345
546	2823	2338
547	2827	2332
548	2831	2326
549	2835	2319
550	2838	2313
551	2842	2306
552	2846	2301
553	2850	2294
554	2854	2288
555	2857	2282
556	2860	2275
557	2863	2268
558	2866	2261
559	2870	2255
560	2873	2248
561	2877	2242
562	2881	2236
563	2885	2230
564	2890	2225
565	2894	2219
566	2898	2213
567	2903	2208
568	2908	2202
569	2913	2198
570	2919	2193
571	2923	2187
572	2928	2181
573	2931	2175
574	2936	2170
575	2939	2164
576	2945	2159
577	2954	2156
578	2961	2153
579	2965	2147
580	2972	2143
581	2979	2139
582	2983	2134
583	2989	2129
584	2995	2124
585	2998	2118
586	3004	2113
587	3008	2107
588	3019	2106
589	3023	2101
590	3027	2095
591	3035	2092
592	3042	2088
593	3046	2082
594	3051	2076
595	3054	2070
596	3059	2065
597	3063	2059
598	3066	2052
599	3069	2046
600	3075	2041
601	3080	2036
602	3087	2032
603	3093	2028
604	3098	2022
605	3101	2016
606	3106	2011
607	3109	2005
608	3113	1998
609	3131	2002
610	3178	2023
611	3183	2018
612	3186	2011
613	3189	2005
614	3286	2057
615	3390	2113
616	3465	2151
617	3469	2144
618	3473	2137
619	3477	2131
620	3482	2125
621	3486	2118
622	3490	2112
623	3494	2105
624	3498	2098
625	3501	2091
626	3504	2084
627	3508	2078
628	3512	2071
629	3515	2064
630	3518	2057
631	3531	2056
632	3550	2058
633	3592	2073
634	3598	2068
635	3602	2061
636	3607	2055
637	3610	2048
638	3617	2043
639	3622	2037
640	3627	2031
641	3633	2025
642	3637	2019
643	3643	2013
644	3649	2008
645	3657	2004
646	3664	1999
647	3669	1993
648	3674	1987
649	3679	1981
650	3683	1974
651	3689	1969
652	3693	1962
653	3697	1956
654	3701	1949
655	3704	1942
656	3709	1936
657	3714	1930
658	3719	1924
659	3723	1918
660	3728	1912
661	3732	1905
662	3737	1899
663	3741	1893
664	3745	1886
665	3748	1879
666	3752	1873
667	3756	1866
668	3760	1860
669	3764	1853
670	3768	1847
671	3771	1840
672	3774	1834
673	3778	1827
674	3781	1820
675	3784	1814
676	3787	1807
677	3790	1800
678	3794	1793
679	3797	1787
680	3801	1780
681	3804	1774
682	3808	1767
683	3811	1760
684	3815	1754
685	3819	1748
686	3822	1741
687	3825	1734
688	3828	1728
689	3831	1721
690	3834	1714
691	3837	1708
692	3841	1701
693	3845	1695
694	3848	1689
695	3851	1682
696	3854	1675
697	3858	1669
698	3861	1662
699	3865	1656
700	3868	1649
701	3871	1643
702	3876	1637
703	3882	1632
704	3887	1626
705	3892	1621
706	3898	1615
707	3901	1609
708	3905	1602
709	3908	1596
710	3911	1589
711	3915	1583
712	3918	1577
713	3921	1570
714	3925	1564
715	3929	1558
716	3933	1552
717	3937	1546
718	3941	1540
719	3944	1534
720	3948	1527
721	3951	1521
722	3954	1515
723	3957	1508
724	3961	1502
725	3964	1496
726	3968	1490
727	3971	1484
728	3975	1477
729	3978	1471
730	3982	1465
731	3985	1459
732	3989	1453
733	3993	1447
734	3996	1441
735	4000	1434
736	4003	1428
737	4008	1422
738	4012	1417
739	4016	1411
740	4019	1404
741	4023	1398
742	4027	1393
743	4032	1387
744	4035	1381
745	4039	1375
746	4043	1369
747	4046	1363
748	4049	1357
749	4052	1350
750	4055	1344
751	4059	1338
752	4063	1333
753	4068	1327
754	4072	1321
755	4075	1315
756	4079	1309
757	4083	1303
758	4088	1298
759	4092	1292
760	4097	1286
761	4101	1281
762	4107	1275
763	4111	1270
764	4115	1264
765	4118	1258
766	4121	1252
767	4124	1245
768	4127	1239
769	4131	1234
770	4135	1228
771	4138	1222
772	4141	1216
773	4145	1210
774	4148	1204
775	4151	1198
776	4155	1192
777	4159	1186
778	4163	1181
779	4166	1175
780	4170	1169
781	4174	1163
782	4178	1158
783	4181	1152
784	4184	1146
785	4187	1140
786	4191	1134
787	4194	1128
788	4198	1122
789	4201	1116
790	4206	1111
791	4210	1105
792	4213	1099
793	4217	1094
794	4221	1088
795	4224	1082
796	4227	1076
797	4230	1070
798	4233	1064
799	4236	1059
800	4239	1053
801	4243	1047
802	4248	1042
803	4252	1036
804	4255	1030
805	4259	1025
806	4262	1019
807	4265	1013
808	4268	1007
809	4271	1002
810	4276	996
811	4280	991
812	4284	985
813	4287	979
814	4291	974
815	4294	968
816	4298	962
817	4303	957
818	4306	951
819	4309	946
820	4312	940
821	4316	934
822	4319	929
823	4323	923
824	4327	917
825	4331	912
826	4337	907
827	4342	902
828	4347	896
829	4351	891
830	4354	885
831	4359	880
832	4362	874
833	4366	869
834	4369	863
835	4372	857
836	4377	852
837	4380	846
838	4383	841
839	4387	835
840	4391	830
841	4394	824
842	4397	818
843	4401	813
844	4405	808
845	4409	802
846	4413	797
847	4417	791
848	4420	786
849	4423	780
850	4426	775
851	4429	769
852	4434	764
853	4437	758
854	4442	753
855	4446	747
856	4449	742
857	4453	737
858	4457	731
859	4460	726
860	4464	720
861	4485	718
862	4492	713
863	4495	707
864	4500	702
865	4503	696
866	4507	691
867	4511	686
868	4515	680
869	4518	675
870	4522	669
871	4539	666
872	4743	690
873	4834	696
874	4838	691
875	4842	685
876	4847	679
877	4851	674
878	4855	668
879	4864	663
880	4895	661
881	4934	660
882	4943	655
883	4948	649
884	4954	643
885	4958	638
886	4962	632
887	4966	626
888	4970	620
889	4973	614
890	4977	608
891	4982	603
892	4987	597
893	4991	591
894	4995	586
895	5000	580
896	5004	574
897	5007	568
898	5011	563
899	5014	557
900	5018	551
901	5021	545
902	5026	539
903	5030	534
904	5034	528
905	5038	522
906	5042	517
907	5047	511
908	5050	505
909	5053	499
910	5057	494
911	5061	488
912	5064	482
913	5068	476
914	5074	471
915	5078	465
916	5081	459
917	5085	454
918	5088	448
919	5090	442
920	5093	436
921	5096	431
922	5100	425
923	5103	419
924	5106	414
925	5110	408
926	5113	402
927	5116	396
928	5120	391
929	5124	385
930	5128	380
931	5132	374
932	5136	368
933	5143	363
934	5148	357
935	5152	352
936	5155	346
937	5159	341
938	5162	335
939	5165	329
940	5169	324
941	5173	318
942	5176	312
943	5179	307
944	5182	301
945	5185	296
946	5189	290
947	5193	284
948	5196	279
949	5200	273
950	5203	268
951	5207	262
952	5210	256
953	5214	251
954	5217	245
955	5219	240
956	5223	234
957	5226	229
958	5229	223
959	5233	218
960	5236	212
961	5240	207
962	5243	201
963	5246	195
964	5249	190
965	5253	184
966	5256	179
967	5259	173
968	5262	168
969	5265	162
970	5269	157
971	5272	151
972	5275	146
973	5279	140
974	5283	135
975	5286	129
976	5289	124
977	5292	119
978	5296	113
979	5299	108
980	5301	102
981	5305	97
982	5308	91
983	5312	86
984	5316	80
985	5320	75
986	5324	70
987	5327	64
988	5330	59
989	5334	53
990	5338	48
991	5342	43
992	5347	37
993	5353	32
994	5357	26
995	5361	21
996	5365	16
997	5368	10
998	5371	5
999	5374	0
